"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"in-e23c8e3f9998492c","indeed","https://in.indeed.com/viewjob?jk=e23c8e3f9998492c","http://in.indeed.com/job/data-solution-lead-e23c8e3f9998492c","data solution lead","SAMA","KA, IN","2026-05-22","fulltime","","","","","",False,"","","","","Find jobs
Company Reviews
Find salaries
Upload your resume
Sign in
Employers / Post Job
Request Blocked

You have been blocked. If you believe this in error, please go to support.indeed.com and reference the following information:

Your Ray ID for this request is 9ffaee3028aa396c

Your current IP for this request is 111.93.136.226

Return home
  →

Troubleshooting Cloudflare Errors

Need more help? Contact us","","https://in.indeed.com/cmp/Sama","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/5dfdc9422a51bfd3682e0befe514fce5","http://sama.com.br","","","","","","","","","",""
"in-09e608964fba77b5","indeed","https://in.indeed.com/viewjob?jk=09e608964fba77b5","https://tnl2.jometer.com/v2/job?jz=581jnb82552ffd2238137ec6618204d7cf743DQAAKAAAAABQ&utm_source=joveo&publisher=Indeed-organic","Senior Software Engineer","Wells Fargo","KA, IN","2026-05-22","","","","","","",False,"","","","","Find jobs
Company Reviews
Find salaries
Upload your resume
Sign in
Employers / Post Job
Request Blocked

You have been blocked. If you believe this in error, please go to support.indeed.com and reference the following information:

Your Ray ID for this request is 9ffaee446c287f71

Your current IP for this request is 103.105.225.66

Return home
  →

Troubleshooting Cloudflare Errors

Need more help? Contact us","","https://in.indeed.com/cmp/Wells-Fargo","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/07f3360c67a60546023692be3d962d43","https://www.wellsfargojobs.com/en/well-life/","San Francisco, CA","10,000+","more than $10B (USD)","Wells Fargo India enables global talent capabilities for Wells Fargo Bank NA., by supporting business lines and staff functions across technologies. We are operating in Hyderabad, Bengaluru & Chennai.","","","","","",""
"in-bd6be9fa8b51e14d","indeed","https://in.indeed.com/viewjob?jk=bd6be9fa8b51e14d","https://tnl2.jometer.com/v2/job?jz=581jn099e48f96fa579f2cf17db7189cf098aDQAAKAAAAABQ&utm_source=joveo&publisher=Indeed-organic","Lead Software Engineer","Wells Fargo","KA, IN","2026-05-22","","","","","","",False,"","","","","Find jobs
Company Reviews
Find salaries
Upload your resume
Sign in
Employers / Post Job
Request Blocked

You have been blocked. If you believe this in error, please go to support.indeed.com and reference the following information:

Your Ray ID for this request is 9ffaee57eaa57f71

Your current IP for this request is 103.105.225.66

Return home
  →

Troubleshooting Cloudflare Errors

Need more help? Contact us","","https://in.indeed.com/cmp/Wells-Fargo","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/07f3360c67a60546023692be3d962d43","https://www.wellsfargojobs.com/en/well-life/","San Francisco, CA","10,000+","more than $10B (USD)","Wells Fargo India enables global talent capabilities for Wells Fargo Bank NA., by supporting business lines and staff functions across technologies. We are operating in Hyderabad, Bengaluru & Chennai.","","","","","",""
"in-0cb7c19fcf03144e","indeed","https://in.indeed.com/viewjob?jk=0cb7c19fcf03144e","https://tnl2.jometer.com/v2/job?jz=581jn55e4b68d1901761df5c2896a6f49a923DQAAKAAAAABQ&utm_source=joveo&publisher=Indeed-organic","Gen AI - Lead Software Engineer","Wells Fargo","KA, IN","2026-05-22","","","","","","",False,"","","","","Find jobs
Company Reviews
Find salaries
Upload your resume
Sign in
Employers / Post Job
Request Blocked

You have been blocked. If you believe this in error, please go to support.indeed.com and reference the following information:

Your Ray ID for this request is 9ffaee6b3ae77f71

Your current IP for this request is 103.105.225.66

Return home
  →

Troubleshooting Cloudflare Errors

Need more help? Contact us","","https://in.indeed.com/cmp/Wells-Fargo","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/07f3360c67a60546023692be3d962d43","https://www.wellsfargojobs.com/en/well-life/","San Francisco, CA","10,000+","more than $10B (USD)","Wells Fargo India enables global talent capabilities for Wells Fargo Bank NA., by supporting business lines and staff functions across technologies. We are operating in Hyderabad, Bengaluru & Chennai.","","","","","",""
"in-fdbada61cca2a064","indeed","https://in.indeed.com/viewjob?jk=fdbada61cca2a064","https://tnl2.jometer.com/v2/job?jz=581jn97c59cf7a891e36f1ae14b80a91913deDQAAKAAAAABQ&utm_source=joveo&publisher=Indeed-organic","Software Engineer - Java, Spring Boot, Kafka, MongDB","Wells Fargo","KA, IN","2026-05-22","","","","","","",False,"","","","","Find jobs
Company Reviews
Find salaries
Upload your resume
Sign in
Employers / Post Job
Request Blocked

You have been blocked. If you believe this in error, please go to support.indeed.com and reference the following information:

Your Ray ID for this request is 9ffaee7e9b5f7f71

Your current IP for this request is 103.105.225.66

Return home
  →

Troubleshooting Cloudflare Errors

Need more help? Contact us","","https://in.indeed.com/cmp/Wells-Fargo","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/07f3360c67a60546023692be3d962d43","https://www.wellsfargojobs.com/en/well-life/","San Francisco, CA","10,000+","more than $10B (USD)","Wells Fargo India enables global talent capabilities for Wells Fargo Bank NA., by supporting business lines and staff functions across technologies. We are operating in Hyderabad, Bengaluru & Chennai.","","","","","",""
"in-02c0ec6fa76520ab","indeed","https://in.indeed.com/viewjob?jk=02c0ec6fa76520ab","https://ibqbjb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/preview/149094","Advanced Data Engineer - GCP","Honeywell","KA, IN","2026-05-22","fulltime","","","","","",False,"","","","","Find jobs
Company Reviews
Find salaries
Upload your resume
Sign in
Employers / Post Job
Request Blocked

You have been blocked. If you believe this in error, please go to support.indeed.com and reference the following information:

Your Ray ID for this request is 9ffaee921c037f71

Your current IP for this request is 103.105.225.66

Return home
  →

Troubleshooting Cloudflare Errors

Need more help? Contact us","","https://in.indeed.com/cmp/Honeywell","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/639237c96947ee9daddfc428ba36fc48","https://www.honeywell.com","Charlotte, NC","10,000+","more than $10B (USD)","","","","","","",""
"li-4417375644","linkedin","https://www.linkedin.com/jobs/view/4417375644","","Manager - AI/ML","KPMG India","Bengaluru, Karnataka, India","2026-05-20","","","","","","",False,"","","","","Job Description

About KPMG in India

KPMG entities in India are professional services firm(s). These Indian member firms are affiliated with KPMG International Limited. KPMG was established in India in August 1993. Our professionals leverage the global network of firms, and are conversant with local laws, regulations, markets and competition. KPMG has offices across India in Ahmedabad, Bengaluru, Chandigarh, Chennai, Gurugram, Jaipur, Hyderabad, Jaipur, Kochi, Kolkata, Mumbai, Noida, Pune, Vadodara and Vijayawada.

KPMG entities in India offer services to national and international clients in India across sectors. We strive to provide rapid, performance-based, industry-focused and technology-enabled services, which reflect a shared knowledge of global and local industries and our experience of the Indian business environment.

AI Engineer

Role Summary

An AI Engineer designs, develops, and deploys AI models and solutions, including Generative AI applications, to solve real-world business problems. This role involves hands-on coding, model training, and integration into production systems.

Key Responsibilities

Attached the Job description for your reference -


Design, build, and fine-tune machine learning, deep learning, and Generative AI models for real-world use cases.
Develop Agentic AI systems using frameworks such as ADK, LangGraph, or equivalent for orchestration and reasoning.
Build solutions leveraging LLMs, RAG pipelines, embeddings, and vector databases.
Design and implement AI systems for text, structured/unstructured data, and conversational use cases.
Apply core NLP techniques including classification, summarization, entity recognition, and semantic search.
Develop scalable algorithms for search, retrieval, and real-time inference.
Build and integrate AI microservices into enterprise systems using APIs, event-driven architectures, and cloud services.
Deploy and operate AI workloads using Docker, Kubernetes, and managed cloud AI platforms (Azure ML, AWS SageMaker, GCP Vertex AI).
Optimize solutions for performance, cost, latency, and security.
Collect, preprocess, and manage large datasets for fine-tuning and inference.
Continuously monitor and optimize models and prompts for accuracy, scalability, and efficiency.
Partner with Solution Architects and business teams to translate requirements into production-ready AI solutions.
Champion Responsible AI practices, including fairness, bias mitigation, and compliance.



KPMG India has a policy of providing equal opportunity for all applicants and employees regardless of their color, caste, religion, age, sex/gender, national origin, citizenship, sexual orientation, gender identity or expression, disability or other legally protected status. KPMG India values diversity and we request you to submit the details below to support us in our endeavor for diversity. Providing the below information is voluntary and refusal to submit such information will not be prejudicial to you.

Responsibilities

Required Skills:


3–9 years of experience in AI/ML development and deployment.
Hands-on experience with LLMs and Generative AI applications.
Proficiency in Python, SQL, and ML frameworks (TensorFlow, PyTorch).
Strong understanding of Generative AI concepts (transformers, embeddings, fine-tuning).
Experience with Agentic AI frameworks (ADK, LangGraph, AutoGen).
Familiarity with cloud platforms (AWS, Azure, GCP) for AI deployment.
Knowledge of prompt engineering, vector databases (Pinecone, Weaviate), and retrieval-augmented generation (RAG).
Hands-on with cloud-native AI deployments (Azure, AWS, GCP).
Familiarity with API-driven design, microservices, and event-driven architectures



Qualifications

Bachelor’s/Master’s in Computer Science, AI, Data Science, or related field.
Show more 
Seniority level
Mid-Senior level
Employment type
Full-time
Job function
Engineering and Information Technology
Industries
Business Consulting and Services","","https://in.linkedin.com/company/kpmgindia","","","","","","","","","","","",""
"li-4416272849","linkedin","https://www.linkedin.com/jobs/view/4416272849","","AI/ML Engineer (Python, ML, PySpark)","HGS","Bengaluru, Karnataka, India","2026-05-18","","","","","","",False,"","","","","Direct message the job poster from HGS

Rajesh Bojja
Rajesh Bojja
we are hiring SAP Fiori S4Hana and Fiori with BTP consultants for Hyderabad,Bengalore and Indore locations

Exp: 3-6 Years

Job Type : Full Time

Location : Hyderabad/Indore/Bangalore

Notice Period: immediate to 30 Days




Job Overview

The Solution Architect (AI/Automation) is responsible for designing and delivering enterprise-grade AI/ML, generative AI/ML, Agentic AI, Automation solutions that support innovation, operational efficiency, and business transformation. This role ensures alignment with enterprise architecture standards, data governance, and cybersecurity frameworks, Cloud while enabling scalable and responsible AI/ML adoption across various industries/business functions.

JOB RESPONSIBILITIES

AI/ML Strategy and Architecture
Design and Develop enterprise AI/ML architectures aligned to client’s transformation goals.
Establish reference architectures for ML, GenAI, Agentic, Automation.
Ensure architectures follow cloud-native, secure, and scalable best practices.
Develop Tools, Template, Calculators, Checklists to accelerate implementation




AI/ML Governance and Responsible AI/ML
Implement responsible AI/ML frameworks ensuring fairness, transparency, safety, and compliance.
Collaborate with Cybersecurity, Privacy, and Compliance teams to meet regulatory obligations.
Define standards for model risk assessment, lifecycle governance, and secure deployment.




Technical Leadership
Lead the end-to-end design and delivery of AI/ML/Agentic AI solutions for client’s requirements.
Translate business needs into solution designs, technical requirements, and architecture artifacts.
Define integration patterns using APIs, microservices, and event-driven architectures.
Recommend data platforms such as feature stores, vector databases, and cloud AI/ML services.
Code reviews and manage a team of developers and senior developers.
Conduct PoCs and pilots to validate use cases
Estimate the timeline, efforts and resources/skill-set required for delivery of client solutions.
Closely work with Sales team on Pre-sales activities, building PoCs and Solutions
Strong understanding of generative AI, including RAG, agents, evaluations and data flows
Provide technical leadership, documentation, and AI/ML architectural guidance.







Innovation and Emerging Technologies
Evaluate emerging technologies including LLMs, automation agents, and multimodal AI/ML.
Build business cases and ROI models for AI/ML initiatives.




EDUCATION AND EXPERIENCE

Bachelor's in AI/ML, Computer Science, Data Science, Engineering, or related field.
8+ years of experience in Software Design, Solution Development, Estimations, Technical Team management, Data, or Cloud Engineering roles.
3+ years of experience architecting or delivering AI/ML, Agentic AI solutions.
Hands on experience on leveraging, Solution and build solutions using AWS, Azure and Google AI Services keeping implementation and maintenance cost optimal
Experience in large-scale AI/ML/Agentic AI transformational client programs
Flexible to work on Global clients projects in USA, Canada

Show more 
Seniority level
Mid-Senior level
Employment type
Full-time
Job function
Information Technology
Industries
IT Services and IT Consulting","","https://www.linkedin.com/company/hinduja-global-solutions-inc--","","","","","","","","","","","",""
"li-4415666056","linkedin","https://www.linkedin.com/jobs/view/4415666056","","AI/ML Testing Engineer","Tata Elxsi","Bengaluru, Karnataka, India","2026-05-18","","","","","","",False,"","","","","AI Quality Engineer.

We are looking for an AI Quality Engineer who will be responsible for validating cutting-edge artificial intelligence solutions across various domains, including generative AI, conversational AI, and predictive AI.




Must-Have Skills:

Experience in testing and validating AI/ML solutions including Generative AI, Conversational AI, and Predictive models
Strong understanding of how ML models are built end-to-end (data preparation, feature engineering, training, validation, tuning)
Knowledge of core ML algorithms and model types (regression, classification, clustering, tree-based models, neural networks, transformers)
Proficiency in Python for AI test automation, data analysis, and model output validation
Hands-on experience with pandas, NumPy, and scikit-learn for data and model validation
Experience in data quality analysis, profiling, and feature validation
Understanding of model evaluation metrics and validation of performance results
Ability to interpret model behavior and explainability outputs
Experience testing AI APIs and services built using FastAPI or Flask
Familiarity with cloud-based AI deployments, preferably AWS SageMaker
Understanding of production ML lifecycle, including deployment validation and monitoring
Strong analytical, problem-solving, and communication skills for cross-functional collaboration




Desirable:

Hands-on experience testing Generative AI prompts, hallucinations, and response quality
Familiarity with Responsible AI, bias, fairness, and safety validation
Knowledge of MLOps pipelines and CI/CD validation for ML systems Experience with performance, latency, and scalability testing for AI services
Exposure to adversarial testing and edge-case validation for AI models
Experience testing AI systems in regulated or high-risk domains

Show more 
Seniority level
Mid-Senior level
Employment type
Full-time
Job function
Information Technology
Industries
IT Services and IT Consulting","","https://in.linkedin.com/company/tataelxsi","","","","","","","","","","","",""
"li-4415607337","linkedin","https://www.linkedin.com/jobs/view/4415607337","","AI/ML Developer","Persistent Systems","Bengaluru, Karnataka, India","2026-05-18","","","","","","",False,"","","","","About Persistent

We are an AI-led, platform-driven Digital Engineering and Enterprise Modernization partner, combining deep technical expertise and industry experience to help our clients anticipate what’s next. Our offerings and proven solutions create a unique competitive advantage for our clients by giving them the power to see beyond and rise above. We work with many industry-leading organizations across the world, including 20 Fortune 50 companies and 4 of the 5 top banks in both the US and India, and numerous innovators across the healthcare ecosystem.

Our disruptor’s mindset, commitment to client success, and agility to thrive in the dynamic environment have enabled us to sustain our growth momentum. Persistent has been recognized across top industry platforms for innovation, leadership, and inclusion. We reported $1,654.4M FY26 revenue with 17.4% Y-o-Y growth. We have delivered 24 sequential quarters of growth with $436.0M in Q4 FY26 revenue, up 3.2% Q-o-Q and 16.2% Y-o-Y growth. Our 27,500+ global team members, located in 18 countries, have been instrumental in helping the market leaders transform their industries. We have been recognized as the Fastest Growing IT Services Brand Globally in the 2026 Brand Finance IT Services 25 Report. We named a Leader in the Everest Group Private Equity (PE) Services PEAK Matrix® Assessment 2026 and Software Product Engineering PEAK Matrix® Assessment 2026.

About Position

We are looking for an experienced AI/ML Developer to design and build advanced data-driven solutions for next-generation telecom systems. This role involves developing intelligent models, architecting scalable data pipelines, and working on cutting-edge technologies such as autonomous AI agents, knowledge graphs, and 5G/6G network intelligence. The ideal candidate will have strong expertise in machine learning, deep learning, and AI system design, combined with hands-on experience in deploying high-performance, production-ready solutions.


Role: AI/ML Developer
Location: All Persistent Locations
Experience: 5+ years
Job Type: Full Time Employment


What You'll Do


Expert in architecting data pipelines, including raw log ingestion (pcap, console traces), automated feature engineering, and rigorous dataset cleaning/validation.
Proven ability in model selection, model evaluation.
Hands-on mastery of Supervised (Classification/Regression), Unsupervised (Anomaly Detection/Clustering), and Deep Reinforcement Learning (for closed-loop network control).
Expertise in Time-Series Forecasting (LSTMs, Transformers, TFT) and Neural Networks (GNNs, CNNs) tailored for high-dimensional telecom telemetry.


Expertise You'll Bring


Experience designing autonomous systems using CrewAI, LangGraph, or n8n to automate complex reasoning and multi-step task delegation, Agent evaluation, guardrail implementation.
Experience building Knowledge Graphs, RAG systems, Fine Tuning.
Proficient in Python for rapid AI prototyping and C++ for high-performance network-layer integration and log processing.
Experience developing custom diagnostic tools for Root Cause Analysis (RCA) and automated fix suggestions using AI/ML.
Deep understanding of the 5G NR/Core stack (CU/DU/OAM/Platform) and its evolution toward AI-native 6G architectures.


Benefits


Competitive salary and benefits package
Culture focused on talent development with quarterly growth opportunities and company-sponsored higher education and certifications
Opportunity to work with cutting-edge technologies
Employee engagement initiatives such as project parties, flexible work hours, and Long Service awards
Annual health check-ups
Insurance coverage: group term life, personal accident, and Mediclaim hospitalization for self, spouse, two children, and parents


Values-Driven, People-Centric & Inclusive Work Environment

Persistent is dedicated to fostering diversity and inclusion in the workplace. We invite applications from all qualified individuals, including those with disabilities, and regardless of gender or gender preference. We welcome diverse candidates from all backgrounds.


We support hybrid work and flexible hours to fit diverse lifestyles.
Our office is accessibility-friendly, with ergonomic setups and assistive technologies to support employees with physical disabilities.
If you are a person with disabilities and have specific requirements, please inform us during the application process or at any time during your employment


Let’s unleash your full potential at Persistent - persistent.com/careers

“Persistent is an Equal Opportunity Employer and prohibits discrimination and harassment of any kind.”

Agentic AI, Rag, development
Show more 
Seniority level
Mid-Senior level
Employment type
Full-time
Job function
